Subject,Item,choice,RT,AUC,MD_abv,Condition
M02,21,SWR,1265,150,270,mismatch_PC
M02,22,SWR,1663,158,284.4,mismatch_PC
M02,23,SWR,1481,181,325.8,mismatch_PC
M02,24,SWR,1485,155,279,mismatch_PC
M02,25,SWR,1769,144,259.2,mismatch_PC
M02,26,SWR,1631,143,257.4,mismatch_PC
M03,1,SWR,1002,132,237.6,match
M03,2,SWR,1141,179,322.2,match
M03,3,SWR,1450,111,199.8,match
M03,4,SWR,1728,188,338.4,match
M03,5,SWR,1018,164,295.2,match
M03,6,SWR,1526,132,237.6,match
M03,7,SWR,1119,110,198,match
M03,8,SWR,1131,119,214.2,match
M03,9,SWR,1201,163,293.4,match
M03,10,SWR,1413,141,253.8,match
M03,11,DIS,1391,175,315,mismathch_Source
M03,12,DIS,1321,132,237.6,mismathch_Source
M03,13,DIS,990,118,212.4,mismathch_Source
M03,14,DIS,1658,158,284.4,mismathch_Source
M03,15,DIS,1248,181,325.8,mismathch_Source
M03,16,DIS,1337,168,302.4,mismathch_Source
M03,17,DIS,923,124,223.2,mismathch_Source
M03,18,DIS,1364,177,318.6,mismathch_Source
M03,19,DIS,1015,136,244.8,mismathch_Source
M03,20,DIS,1414,135,243,mismathch_Source
M03,21,SWR,1102,109,196.2,mismatch_PC
M03,22,SWR,1156,137,246.6,mismatch_PC
M03,23,SWR,1288,179,322.2,mismatch_PC
M03,24,SWR,1051,122,219.6,mismatch_PC
M03,25,SWR,1154,166,298.8,mismatch_PC
M03,26,SWR,1667,157,282.6,mismatch_PC
M04,1,SWR,1020,103,185.4,match
M04,2,SWR,1227,179,322.2,match
M04,3,SWR,1592,147,264.6,match
M04,4,SWR,1407,141,253.8,match
M04,5,SWR,1002,106,190.8,match
M04,6,SWR,1351,148,266.4,match
M04,7,SWR,921,136,244.8,match
M04,8,SWR,1764,162,291.6,match
M04,9,SWR,1436,105,189,match
M04,10,SWR,1613,154,277.2,match
M04,11,DIS,1363,109,196.2,mismathch_Source
M04,12,DIS,1576,151,271.8,mismathch_Source
M04,13,DIS,1104,176,316.8,mismathch_Source
M04,14,DIS,1463,178,320.4,mismathch_Source
M04,15,DIS,1299,176,316.8,mismathch_Source
M04,16,DIS,1529,106,190.8,mismathch_Source
M04,17,DIS,1267,132,237.6,mismathch_Source
M04,18,DIS,1472,141,253.8,mismathch_Source
M04,19,DIS,1295,164,295.2,mismathch_Source
M04,20,DIS,1746,150,270,mismathch_Source
M04,21,SWR,1593,104,187.2,mismatch_PC
M04,22,SWR,1332,141,253.8,mismatch_PC
M04,23,SWR,1000,166,298.8,mismatch_PC
M04,24,SWR,1140,174,313.2,mismatch_PC
M04,25,SWR,1250,108,194.4,mismatch_PC
M04,26,SWR,1553,151,271.8,mismatch_PC
M05,1,SWR,1771,130,234,match
M05,2,SWR,905,152,273.6,match
M05,3,SWR,1196,152,273.6,match
M05,4,SWR,1065,162,291.6,match
M05,5,SWR,1500,109,196.2,match
M05,6,SWR,1074,103,185.4,match
M05,7,SWR,1235,132,237.6,match
M05,8,SWR,1402,116,208.8,match
M05,9,SWR,1726,131,235.8,match
M05,10,SWR,1729,116,208.8,match
M05,11,DIS,1185,171,307.8,mismathch_Source
M05,12,DIS,1120,148,266.4,mismathch_Source
M05,13,DIS,1204,179,322.2,mismathch_Source
M05,14,DIS,1659,135,243,mismathch_Source
M05,15,DIS,978,102,183.6,mismathch_Source
M05,16,DIS,1572,102,183.6,mismathch_Source
M05,17,DIS,1326,158,284.4,mismathch_Source
M05,18,DIS,992,143,257.4,mismathch_Source
M05,19,DIS,1797,111,199.8,mismathch_Source
M05,20,DIS,1055,121,217.8,mismathch_Source
M05,21,SWR,1601,144,259.2,mismatch_PC
M05,22,SWR,955,127,228.6,mismatch_PC
M05,23,SWR,1682,119,214.2,mismatch_PC
M05,24,SWR,1794,117,210.6,mismatch_PC
M05,25,SWR,1613,173,311.4,mismatch_PC
M05,26,SWR,1427,161,289.8,mismatch_PC
M06,1,SWR,1312,123,221.4,match
M06,2,SWR,1167,174,313.2,match
M06,3,SWR,1712,136,244.8,match
M06,4,SWR,1662,141,253.8,match
M06,5,SWR,1341,166,298.8,match
M06,6,SWR,1377,123,221.4,match
M06,7,SWR,973,125,225,match
M06,8,SWR,1770,161,289.8,match
M06,9,SWR,1747,116,208.8,match
M06,10,SWR,1691,141,253.8,match
M06,11,DIS,1557,104,187.2,mismathch_Source
M06,12,DIS,1046,181,325.8,mismathch_Source
M06,13,DIS,1483,131,235.8,mismathch_Source
M06,14,DIS,1098,119,214.2,mismathch_Source
M06,15,DIS,1137,180,324,mismathch_Source
M06,16,DIS,1294,136,244.8,mismathch_Source
M06,17,DIS,1052,147,264.6,mismathch_Source
M06,18,DIS,1635,163,293.4,mismathch_Source
M06,19,DIS,1306,129,232.2,mismathch_Source
M06,20,DIS,1164,157,282.6,mismathch_Source
M06,21,SWR,1689,188,338.4,mismatch_PC
M06,22,SWR,1585,159,286.2,mismatch_PC
M06,23,SWR,1393,143,257.4,mismatch_PC
M06,24,SWR,1224,138,248.4,mismatch_PC
M06,25,SWR,1455,167,300.6,mismatch_PC
M06,26,SWR,1357,108,194.4,mismatch_PC
M07,1,SWR,1054,105,189,match
M07,2,SWR,1207,154,277.2,match
M07,3,SWR,1755,160,288,match
M07,4,SWR,1504,114,205.2,match
M07,5,SWR,1385,155,279,match
M07,6,SWR,1048,168,302.4,match
M07,7,SWR,1667,108,194.4,match
M07,8,SWR,1538,121,217.8,match
M07,9,SWR,969,161,289.8,match
M07,10,SWR,1595,126,226.8,match
M07,11,DIS,921,140,252,mismathch_Source
M07,12,DIS,916,150,270,mismathch_Source
M07,13,DIS,1531,118,212.4,mismathch_Source
M07,14,DIS,1411,184,331.2,mismathch_Source
M07,15,DIS,1239,171,307.8,mismathch_Source
M07,16,DIS,1284,119,214.2,mismathch_Source
M07,17,DIS,1786,169,304.2,mismathch_Source
M07,18,DIS,1007,183,329.4,mismathch_Source
M07,19,DIS,979,188,338.4,mismathch_Source
M07,20,DIS,965,119,214.2,mismathch_Source
M07,21,SWR,1166,151,271.8,mismatch_PC
M07,22,SWR,1229,166,298.8,mismatch_PC
M07,23,SWR,1462,188,338.4,mismatch_PC
M07,24,SWR,1064,128,230.4,mismatch_PC
M07,25,SWR,1344,126,226.8,mismatch_PC
M07,26,SWR,1115,185,333,mismatch_PC
M08,1,SWR,1335,132,237.6,match
M08,2,SWR,1182,165,297,match
M08,3,SWR,1015,187,336.6,match
M08,4,SWR,1171,116,208.8,match
M08,5,SWR,911,126,226.8,match
M08,6,SWR,1083,188,338.4,match
M08,7,SWR,1113,141,253.8,match
M08,8,SWR,1560,124,223.2,match
M08,9,SWR,1385,177,318.6,match
M08,10,SWR,1359,110,198,match
M08,11,DIS,1539,177,318.6,mismathch_Source
M08,12,DIS,1588,169,304.2,mismathch_Source
M08,13,DIS,1111,116,208.8,mismathch_Source
M08,14,DIS,1223,187,336.6,mismathch_Source
M08,15,DIS,1719,112,201.6,mismathch_Source
M08,16,DIS,1283,156,280.8,mismathch_Source
M08,17,DIS,1444,107,192.6,mismathch_Source
M08,18,DIS,1609,131,235.8,mismathch_Source
M08,19,DIS,1505,109,196.2,mismathch_Source
M08,20,DIS,1196,109,196.2,mismathch_Source
M08,21,SWR,1054,142,255.6,mismatch_PC
M08,22,SWR,1725,160,288,mismatch_PC
M08,23,SWR,988,139,250.2,mismatch_PC
M08,24,SWR,921,125,225,mismatch_PC
M08,25,SWR,920,171,307.8,mismatch_PC
M08,26,SWR,1701,165,297,mismatch_PC
M09,1,SWR,1394,124,223.2,match
M09,2,SWR,1242,177,318.6,match
M09,3,SWR,996,148,266.4,match
M09,4,SWR,1277,126,226.8,match
M09,5,SWR,985,136,244.8,match
M09,6,SWR,1202,109,196.2,match
M09,7,SWR,1631,177,318.6,match
M09,8,SWR,963,153,275.4,match
M09,9,SWR,1123,167,300.6,match
M09,10,SWR,1196,154,277.2,match
M09,11,DIS,1036,140,252,mismathch_Source
M09,12,DIS,1136,144,259.2,mismathch_Source
M09,13,DIS,1066,184,331.2,mismathch_Source
M09,14,DIS,1508,135,243,mismathch_Source
M09,15,DIS,997,185,333,mismathch_Source
M09,16,DIS,1182,184,331.2,mismathch_Source
M09,17,DIS,1653,180,324,mismathch_Source
M09,18,DIS,1066,122,219.6,mismathch_Source
M09,19,DIS,914,122,219.6,mismathch_Source
M09,20,DIS,1610,134,241.2,mismathch_Source
M09,21,SWR,1023,115,207,mismatch_PC
M09,22,SWR,1209,111,199.8,mismatch_PC
M09,23,SWR,1480,161,289.8,mismatch_PC
M09,24,SWR,1625,160,288,mismatch_PC
M09,25,SWR,1325,157,282.6,mismatch_PC
M09,26,SWR,1318,115,207,mismatch_PC
M10,1,SWR,1423,181,325.8,match
M10,2,SWR,1750,105,189,match
M10,3,SWR,1663,180,324,match
M10,4,SWR,1165,170,306,match
M10,5,SWR,1626,103,185.4,match
M10,6,SWR,1687,175,315,match
M10,7,SWR,1420,142,255.6,match
M10,8,SWR,1550,103,185.4,match
M10,9,SWR,1698,183,329.4,match
M10,10,SWR,1670,121,217.8,match
M10,11,DIS,1248,125,225,mismathch_Source
M10,12,DIS,1249,167,300.6,mismathch_Source
M10,13,DIS,937,124,223.2,mismathch_Source
M10,14,DIS,1640,146,262.8,mismathch_Source
M10,15,DIS,1455,153,275.4,mismathch_Source
M10,16,DIS,1060,165,297,mismathch_Source
M10,17,DIS,1324,122,219.6,mismathch_Source
M10,18,DIS,1656,150,270,mismathch_Source
M10,19,DIS,1712,118,212.4,mismathch_Source
M10,20,DIS,1658,120,216,mismathch_Source
M10,21,SWR,1506,160,288,mismatch_PC
M10,22,SWR,1210,105,189,mismatch_PC
M10,23,SWR,950,163,293.4,mismatch_PC
M10,24,SWR,1087,165,297,mismatch_PC
M10,25,SWR,1102,186,334.8,mismatch_PC
M10,26,SWR,1549,153,275.4,mismatch_PC
